summary,role,text
60 - 82.tsv,AGENT,yes 'you' re-install
60 - 82.tsv,AGENT,why are you asking in #ubuntu ?
60 - 82.tsv,CUSTOMER,off-topic?
60 - 82.tsv,AGENT,nonsense
60 - 82.tsv,AGENT,no it's not
60 - 82.tsv,AGENT,macs are supported and have been for a long time
60 - 82.tsv,AGENT,"that's nothing to do with ubuntu, as you no"
60 - 82.tsv,CUSTOMER,ubuntu is based on debian? ok
60 - 82.tsv,AGENT,so ? it's nothing to do with ubuntu
60 - 82.tsv,AGENT,no
60 - 82.tsv,AGENT,because it's not stable enough
60 - 82.tsv,AGENT,"do some research on it, it's currently broke, but it's stability changes up and down daily"
60 - 82.tsv,AGENT,but that is listed on the https://help.ubuntu.com guide which you should have read before installing
60 - 82.tsv,CUSTOMER,do you use 64-bit ubuntu?
60 - 82.tsv,AGENT,yes
60 - 82.tsv,AGENT,just ask the question
60 - 82.tsv,AGENT,"it's not great, but it's also not the end of the world"
60 - 82.tsv,CUSTOMER,it happens because the tmp directory is a tmpfs
60 - 82.tsv,AGENT,"ok, doesn't change what I said though"
60 - 82.tsv,AGENT,no
60 - 82.tsv,AGENT,11.04 can be discussed in #ubuntu+1
60 - 82.tsv,AGENT,no
60 - 278.tsv,CUSTOMER,anyone know how to fix overlapping partitions?
60 - 278.tsv,AGENT,sort the spacing/sizing out
60 - 278.tsv,AGENT,sorting the space out so partiitons don't over lap
60 - 278.tsv,CUSTOMER,how do you do that without using gparted
60 - 278.tsv,AGENT,what tool are you using
60 - 278.tsv,AGENT,you've asked like 100 times - just wait a minute
60 - 278.tsv,AGENT,there are other people wnating help
60 - 278.tsv,AGENT,"it doesn't work like that, if you have overlapping partitions your paritions table is screwed"
60 - 278.tsv,AGENT,deleting the mandrivva parition won't fix that
60 - 278.tsv,AGENT,if your partition table/data is messed up
60 - 278.tsv,AGENT,if your partition table is dead - you'll have to rebuild your disk system
60 - 278.tsv,AGENT,its mounted read only
60 - 278.tsv,AGENT,"I've told you about 4 times, if your partition tables are overlappying your data is worthless, so you'll have to rebuild"
60 - 278.tsv,AGENT,"if its mounting it read only and fsck won't fix it, that suggests there is a fatal problem"
60 - 278.tsv,AGENT,I'm not confused
60 - 278.tsv,AGENT,your tyring to access your data and copy data around on /media that you've just mouonted a disk on
60 - 278.tsv,CUSTOMER,is confused
60 - 278.tsv,AGENT,I assure you I'm not
60 - 278.tsv,AGENT,I didn't say they where not
60 - 278.tsv,AGENT,if your partitions are overlapping there is a good probabilyt of file system corruption
60 - 278.tsv,AGENT,"you /think/ you can access the data, that doesn't mean its all there and ok"
60 - 278.tsv,AGENT,your encoder / card does hd - not the software
60 - 278.tsv,AGENT,create a theme
60 - 278.tsv,AGENT,"create a theme, in that theme define your icon set"
60 - 278.tsv,AGENT,sure
60 - 278.tsv,AGENT,create an icon pack
60 - 278.tsv,AGENT,or edit the current one
60 - 278.tsv,AGENT,/usr/share/themes (from memory - not certain)
60 - 278.tsv,AGENT,/usr/share/icons then there is .theme files somewhere
60 - 278.tsv,AGENT,/usr/share/icons for system wide ones (as I've said 2 times
60 - 278.tsv,AGENT,the ~/.icons are you personal ones
60 - 278.tsv,AGENT,"look for the .theme files, there is also a sub forum on ubuntuforums.org for art work which may have guides for you"
60 - 278.tsv,AGENT,"I'm no icon master, have a glance through the forum and look for the guides I suggested"
60 - 278.tsv,AGENT,there is a whole artwork (which covers icons) sub forum on ubuntuforums.org
60 - 278.tsv,AGENT,did you look in the forum ?/
60 - 278.tsv,AGENT,did you not find any threads on modifying themes ?
60 - 278.tsv,AGENT,what video card
60 - 278.tsv,AGENT,are you using the restricted drivers channel
60 - 278.tsv,AGENT,have you reconfigued it to the correct resolution ?
60 - 278.tsv,AGENT,sudo dpkg-reconfigure xserver-xorg ?
60 - 278.tsv,AGENT,what resolution are you trying for
60 - 278.tsv,CUSTOMER,1440 x 900
60 - 278.tsv,AGENT,ok - so did you select JUST that resoution when you did the reconfigured
60 - 278.tsv,AGENT,and what resolution do you get
60 - 278.tsv,AGENT,apt-get remove gnome-desktop
60 - 278.tsv,AGENT,I hope you have something else already installed
60 - 278.tsv,AGENT,use synaptic to remove it all
60 - 278.tsv,AGENT,"it will remove EVERYTHING as gnome apps depend on gnome, so if you remove gnome - the apps won't work"
60 - 278.tsv,AGENT,use synaptic and click what you want gone and hit remove all
60 - 278.tsv,AGENT,"depends on dependencies, but yes as I've said, open synmaptic and remove all gnome apps"
60 - 278.tsv,AGENT,"yes, but you have to call out the packages"
60 - 278.tsv,AGENT,no - use synaptic or apt-cache to search for the correct package names
60 - 278.tsv,AGENT,there will be a LOT
60 - 278.tsv,AGENT,to remove the package you need to know the correct package name
60 - 278.tsv,AGENT,"so you'll need to use synaptic to search and select for the packages, or apt-cache to search for the packages then apt-get remove to remove them"
60 - 278.tsv,AGENT,remove ubuntu-desktop
60 - 278.tsv,AGENT,or whatever the correct gnome package name is
60 - 278.tsv,AGENT,thats why I said 'search'
60 - 278.tsv,AGENT,that won't remove everything due to dependencies
60 - 278.tsv,AGENT,thats not it
